fold_id,ticker,retrain_interval,stage,iter,window,units,learning_rate,epochs,threshold,sharpe,mdd,raw_sharpe,raw_mdd,turnover,penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,66,36,92,0.007217353,30,0.6632451493654149,11.43533555210199,0.0007,11.43533555210199,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,67,11,91,0.004675528,77,0.8550656469140167,6.813410382042132,0.0007,6.813410382042132,0.0007,4,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,68,39,61,0.001490574,13,0.5701838960927408,11.884010995716128,0.0007,11.884010995716128,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,69,33,71,0.002064538,32,0.5617220314489823,11.898256127298382,0.0007,11.898256127298382,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,70,29,34,0.009150098,61,0.5668246265295246,11.884010995716128,0.0007,11.884010995716128,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,71,24,40,0.008421605,18,0.8043616345305538,9.496820436252198,0.0007,9.496820436252198,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,72,24,61,0.009685443,72,0.7402725142564018,9.727598927139931,0,9.727598927139931,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,73,25,43,0.001995031,22,0.7663316817993612,4.590259775426897,0.0007,4.590259775426897,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,74,33,90,0.009929117,22,0.5412895144524026,9.486258797386057,0.0007,9.486258797386057,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,75,18,49,0.006615858,38,0.7782342542747237,9.496820436252198,0.0007,9.496820436252198,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,76,32,50,0.007649143,75,0.8896910170050526,7.495981802533377,0,7.495981802533377,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,77,37,36,0.008731686,29,0.8965615084166371,5.019960159204453,0,5.019960159204453,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,78,28,39,0.009367933,26,0.5927390728912187,11.926762905637759,0,11.926762905637759,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,79,33,56,0.008947883,46,0.8660087451711601,7.169047666195454,0.0007,7.169047666195454,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,80,40,67,0.006898394,41,0.5973201946583263,11.926762905637759,0,11.926762905637759,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,81,31,35,0.00856233,27,0.7975655124164546,9.496820436252198,0.0007,9.496820436252198,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,82,33,32,0.006742841,50,0.9397052153672453,4.590259775426897,0.0007,4.590259775426897,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,83,27,36,0.000696008,74,0.9159023149192087,7.154559544751248,0.0007,7.154559544751248,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,84,40,86,0.000768034,80,0.6891378844292873,9.496820436252198,0.0007,9.496820436252198,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,85,22,57,0.004019334,21,0.8687056705803671,6.447066116060913,0.0007,6.447066116060913,0.0007,3,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,86,22,34,0.001344793,78,0.8356014130887088,7.148453125551213,0.0007,7.148453125551213,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,87,12,81,0.006583399,57,0.7876773133178233,7.495981802533377,0,7.495981802533377,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,88,30,79,0.000806425,74,0.7277404813894778,8.554552471740637,0.0007,8.554552471740637,0.0007,4,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,89,28,47,0.002133124,57,0.9298950174824495,7.154559544751248,0.0007,7.154559544751248,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,90,21,81,0.006345893,29,0.8222618546408687,7.495981802533377,0,7.495981802533377,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,91,18,32,0.004051328,14,0.7548699373074006,9.486258797386057,0.0007,9.486258797386057,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,92,17,88,0.000136926,42,0.6352085112805647,11.884010995716128,0.0007,11.884010995716128,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,93,40,75,0.006030589,37,0.6830220037079234,9.727598927139931,0,9.727598927139931,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,94,26,44,0.009869375,15,0.877251454,7.169047666195454,0.0007,7.169047666195454,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,95,24,84,0.006455095,76,0.7625181150633965,9.486258797386057,0.0007,9.486258797386057,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,96,25,50,0.000123145,64,0.8657014685693383,7.495981802533377,0,7.495981802533377,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,97,12,81,0.004770554,22,0.5823348585751628,11.926762905637759,0,11.926762905637759,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,98,22,91,0.001142763,12,0.8854786269226727,7.169047666195454,0.0007,7.169047666195454,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,99,18,46,0.000444526,55,0.812732301,9.469948096580072,0.0007,9.469948096580072,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,100,24,74,0.007933949,39,0.6777368664483805,10.943564951795949,0.0007,10.943564951795949,0.0007,4,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,101,36,74,0.00334637,62,0.7366352267207107,9.486258797386057,0.0007,9.486258797386057,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,102,15,67,0.002970884,33,0.9149649635441045,7.189407320237833,0.0007,7.189407320237833,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,103,17,84,0.007908618,67,0.5082984544996357,11.861847621407831,0.0007,11.861847621407831,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
